name,year,latitude,longitude,source_url,type
Copper Works,1884,42.303,-83.091,"https://www.loc.gov/resource/g4114dm.g03985188401/?st=image&r=0.127,0.937,1.177,0.528,0",ind
Detroit Leather Co.,1884,42.305,-83.089,"https://www.loc.gov/resource/g4114dm.g03985188401/?st=image&r=0.127,0.937,1.177,0.528,0",ind
Baugh. Steam Forge Co.,1884,42.307,-83.087,"https://www.loc.gov/resource/g4114dm.g03985188401/?st=image&r=0.127,0.937,1.177,0.528,0",ind
Clark & Granger Mfg. Co.,1884,42.308,-83.087,"https://www.loc.gov/resource/g4114dm.g03985188401/?st=image&r=0.127,0.937,1.177,0.528,0",ind
Dry Dock Co.,1884,42.307,-83.087,"https://www.loc.gov/resource/g4114dm.g03985188401/?st=image&r=0.127,0.937,1.177,0.528,0",ind
Gas Wks.,1884,42.315,-83.079,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Malleable Iron Wks.,1884,42.317,-83.076,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Lumber Yards,1884,42.316,-83.075,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
"Wabash, St. Louis & Pacific RR Grounds",1884,42.318,-83.071,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Wilson's Foundry,1884,42.321,-83.069,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Terra Cotta Mill,1884,42.321,-83.068,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Freight Elevator B,1884,42.321,-83.066,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Freight Elevator A,1884,42.323,-83.06,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Freight Depot,1884,42.323,-83.062,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Freight Depot,1884,42.324,-83.059,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Lumber Yards,1884,42.324,-83.063,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Union Mill Co.,1884,42.324,-83.061,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Electric Wks.,1884,42.325,-83.06,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Foundry,1884,42.327,-83.057,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Iron Wks.,1884,42.326,-83.054,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Lead Pipe Wks.,1884,42.327,-83.052,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Foundry,1884,42.327,-83.051,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
Cass Hotel,1884,42.326,-83.053,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",rec
Michigan Exchange Hotel,1884,42.327,-83.047,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",rec
Detroit Steam Supply Co. (Coal Yard),1884,42.327,-83.043,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind
St. Lawrence Hotel,1884,42.328,-83.042,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,rec
Wabash Hotel,1884,42.328,-83.041,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,rec
Stone Yard,1884,42.327,-83.041,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
Freight Depot,1884,42.328,-83.04,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
"Detroit, Grand Haven, and Milwaukee R.R. Freight Depot",1884,42.328,-83.039,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
Detroit Steam Radiator Co.,1884,42.331,-83.033,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
Coal Yard,1884,42.331,-83.035,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
Riverside Iron Works,1884,42.331,-83.031,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
F.B. Sibley & Co. Lime Kiln,1884,42.331,-83.03,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
J.B. Scranton & Co. Lumber Yard,1884,42.332,-83.029,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
J.E. Pittman Coal Shed,1884,42.332,-83.028,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
Coal Trestles,1884,42.331,-83.028,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
Locomotive and Car Repair Shops,1884,42.332,-83.028,https://fims.historicalinfo.com/FIMSSD.aspx?m=03985_02_1884,ind
