name,year,latitude,longitude,source_url,type,source,photo_link
Copper Works,1884,42.303,-83.091,"https://www.loc.gov/resource/g4114dm.g03985188401/?st=image&r=0.127,0.937,1.177,0.528,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
Detroit Leather Co.,1884,42.305,-83.089,"https://www.loc.gov/resource/g4114dm.g03985188401/?st=image&r=0.127,0.937,1.177,0.528,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
Baugh. Steam Forge Co.,1884,42.307,-83.087,"https://www.loc.gov/resource/g4114dm.g03985188401/?st=image&r=0.127,0.937,1.177,0.528,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
Clark & Granger Mfg. Co.,1884,42.308,-83.087,"https://www.loc.gov/resource/g4114dm.g03985188401/?st=image&r=0.127,0.937,1.177,0.528,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
Dry Dock Co.,1884,42.307,-83.087,"https://www.loc.gov/resource/g4114dm.g03985188401/?st=image&r=0.127,0.937,1.177,0.528,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
Gas Wks.,1884,42.315,-83.079,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
Malleable Iron Wks.,1884,42.317,-83.076,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
Lumber Yards,1884,42.316,-83.075,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
"Wabash, St. Louis & Pacific RR Grounds",1884,42.318,-83.071,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
Wilson's Foundry,1884,42.321,-83.069,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
Terra Cotta Mill,1884,42.321,-83.068,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
Freight Elevator B,1884,42.321,-83.066,"https://www.loc.gov/resource/g4114dm.g03985188401/?sp=2&st=image&r=0.521,0.986,0.207,0.093,0",ind,Sanborn Fire Insurance Maps - Detroit 1884,1884.jpg
